sector,business_name,week,engagement_rate,engagement,posts_count,likes_count,comments_count,views_count,rolling_engagement_rate,business_growth,trend_class,n_states,final_trend_class
Cafes/Restaurants,REXOS Café & Restaurant,2026-05-04/2026-05-10,0.0002063492063491492,8.666666666666666,3,25.0,1.0,27929.0,0.000505291005290963,-0.9670291731399993,declining,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-04-08/2024-04-14,0.0006153846153846,4.0,1,3.0,1.0,58000.0,0.0006153846153846,0.0,stable,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-08-19/2024-08-25,0.0033846153846153,22.0,1,18.0,4.0,0.0,0.0019999999999999497,2.2499999999999996,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-09-02/2024-09-08,0.0275384615384615,179.0,2,353.0,5.0,0.0,0.010512820512820467,4.256410256410366,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-09-09/2024-09-15,0.0215384615384615,140.0,1,134.0,6.0,0.0,0.01748717948717943,0.6634146341463432,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-09-30/2024-10-06,0.13715384615384615,891.5,2,1757.0,26.0,0.0,0.06207692307692305,2.5498533724340273,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-11-11/2024-11-17,0.0064615384615384,42.0,1,40.0,2.0,4200000.0,0.05505128205128201,-0.11317637339942199,declining,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-11-18/2024-11-24,0.062076923076923,403.5,2,802.0,5.0,3042000.0,0.06856410256410252,0.24545877969259422,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-11-25/2024-12-01,0.0024615384615384,16.0,1,13.0,3.0,1400000.0,0.0236666666666666,-0.6548242333582655,declining,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-12-02/2024-12-08,0.01423076923076915,92.5,2,182.0,3.0,1400000.0,0.02625641025641019,0.1094257854821239,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-12-09/2024-12-15,0.0085384615384615,55.5,2,108.0,3.0,2025000.0,0.00841025641025635,-0.6796875000000016,declining,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2024-12-16/2024-12-22,0.1426153846153846,927.0,1,920.0,7.0,0.0,0.05512820512820508,5.554878048780529,improving,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2025-01-13/2025-01-19,0.0175384615384615,114.0,1,114.0,0.0,0.0,0.056230769230769195,0.02000000000000024,stable,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2025-02-24/2025-03-02,0.0024615384615384,16.0,1,15.0,1.0,0.0,0.05420512820512816,-0.036023711810305614,stable,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2025-05-05/2025-05-11,0.0304615384615384,198.0,1,196.0,2.0,0.0,0.016820512820512768,-0.6896877956480613,declining,3,inconsistent
Cafes/Restaurants,Robian Restaurant,2025-07-28/2025-08-03,0.0004615384615384,3.0,1,3.0,0.0,0.0,0.011128205128205068,-0.338414634146343,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2024-12-30/2025-01-05,0.0002469135802469,20.0,1,15.0,5.0,0.0,0.0002469135802469,0.0,stable,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-01-20/2025-01-26,3.703703703703704e-05,3.0,1,2.0,1.0,0.0,0.0001419753086419685,-0.42499999999999594,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-02-17/2025-02-23,6.17283950617284e-05,5.0,1,4.0,1.0,0.0,0.00011522633744855513,-0.18840579710144234,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-02-24/2025-03-02,2.469135802469136e-05,2.0,1,0.0,2.0,0.0,4.11522633744856e-05,-0.6428571428571288,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-03-17/2025-03-23,0.0,0.0,1,0.0,0.0,0.0,2.880658436213992e-05,-0.30000000000000004,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-11-24/2025-11-30,0.0002469135802469,20.0,1,3.0,17.0,0.0,9.053497942386377e-05,2.142857142856985,improving,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-12-01/2025-12-07,0.00433950617283945,351.5,2,674.0,29.0,0.0,0.0015288065843621166,15.886363636364226,improving,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-12-15/2025-12-21,0.0001262551440329218,5.0,3,13.0,2.0,162000.0,0.0015708916323730903,0.027528039479587596,stable,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2025-12-22/2025-12-28,9.876543209876544e-05,8.0,1,6.0,2.0,0.0,0.0015215089163237124,-0.03143610611432002,stable,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-03-30/2026-04-05,0.00012345679012343272,10.0,2,17.0,3.0,0.0,0.00011615912208503999,-0.9236553129338834,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-04-06/2026-04-12,1.2345679012345678e-05,1.0,1,1.0,0.0,363.0,7.818930041151461e-05,-0.32687765706190264,declining,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-04-13/2026-04-19,0.0021604938271604,175.0,1,169.0,6.0,518.0,0.0007654320987653928,8.789473684211028,improving,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-04-20/2026-04-26,0.0260493827160493,2110.0,1,2100.0,10.0,3100.0,0.009407407407407349,11.290322580645716,improving,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-04-27/2026-05-03,0.0001358024691358,11.0,1,1.0,10.0,2100.0,0.009448559670781833,0.004374453193350725,stable,3,inconsistent
Cafes/Restaurants,Shawerma w Mashawi Al Helou,2026-05-04/2026-05-10,4.3209876543209875e-05,3.5,2,7.0,0.0,51100.0,0.008742798353909436,-0.07469512195121675,stable,3,inconsistent
