min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence
0.03,0.6,1.5,1,318,459,14,2,2.7351344778831894,3.6136363636363638,0.9353125865730908,1.0
0.03,0.6,2.0,1,318,459,11,2,2.992801919488136,3.6136363636363638,1.0,1.0
0.05,0.4,1.0,2,1810,9489,9,2,2.0372165433835265,3.0,0.6961901569744707,1.0
0.05,0.4,1.0,3,9125,110569,9,2,2.0372165433835265,3.0,0.6961901569744707,1.0
0.05,0.4,1.2,2,1810,9489,9,2,2.0372165433835265,3.0,0.6961901569744707,1.0
0.05,0.4,1.2,3,9125,110569,9,2,2.0372165433835265,3.0,0.6961901569744707,1.0
0.05,0.4,1.5,2,1810,9489,7,2,2.263694243770145,3.0,0.7564461682108742,1.0
0.05,0.4,1.5,3,9125,110569,7,2,2.263694243770145,3.0,0.7564461682108742,1.0
0.05,0.4,1.0,1,268,450,7,1,2.203940430221265,3.0,0.7606478488831431,1.0
0.05,0.4,1.2,1,268,450,7,1,2.203940430221265,3.0,0.7606478488831431,1.0
0.05,0.4,1.5,1,268,450,6,1,2.3575541578387877,3.0,0.8040891570303336,1.0
0.05,0.5,1.0,1,268,434,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.0,2,1810,9255,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.0,3,9125,108831,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.2,1,268,434,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.2,2,1810,9255,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.2,3,9125,108831,6,0,2.303587067581375,3.0,0.8133484162895929,1.0
0.05,0.5,1.5,1,268,434,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.5,1.5,2,1810,9255,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.5,1.5,3,9125,108831,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.0,1,268,428,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.0,2,1810,9233,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.0,3,9125,108793,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.2,1,268,428,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.2,2,1810,9233,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.2,3,9125,108793,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.5,1,268,428,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.5,2,1810,9233,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.6,1.5,3,9125,108793,5,0,2.507852868194424,3.0,0.8760180995475114,1.0
0.05,0.4,2.0,1,268,450,3,0,3.0,3.0,1.0,1.0
0.05,0.4,2.0,2,1810,9489,3,0,3.0,3.0,1.0,1.0
0.05,0.4,2.0,3,9125,110569,3,0,3.0,3.0,1.0,1.0
0.05,0.5,2.0,1,268,434,3,0,3.0,3.0,1.0,1.0
0.05,0.5,2.0,2,1810,9255,3,0,3.0,3.0,1.0,1.0
0.05,0.5,2.0,3,9125,108831,3,0,3.0,3.0,1.0,1.0
0.05,0.6,2.0,1,268,428,3,0,3.0,3.0,1.0,1.0
0.05,0.6,2.0,2,1810,9233,3,0,3.0,3.0,1.0,1.0
0.05,0.6,2.0,3,9125,108793,3,0,3.0,3.0,1.0,1.0
