source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
311,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday|hashtag=ginger_twist|hashtag=جنجر_توست,hashtag=vanilla_today_and_everyday|hashtag=ginger_twist|hashtag=جنجر_توست|avg_view_rate,3
312,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday,hashtag=vanilla_today_and_everyday|avg_view_rate,1
313,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,2
315,0.4028776978417266,avg_view_rate,hashtag=ramadan2025|hashtag=ramadankareem|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=ramadan2025|hashtag=ramadankareem|hashtag=vanilla_today_and_everyday|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,4
316,0.06690647482014389,low_view_rate,hashtag=vanilla|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=vanilla|hashtag=فانيلا_اليوم_وكل_يوم|low_view_rate,2
317,0.17266187050359713,avg_view_rate,hashtag=فانيلا,hashtag=فانيلا|avg_view_rate,1
318,0.2733812949640288,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
319,0.5107913669064749,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=فرنش_توست,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=فرنش_توست|avg_view_rate,2
320,0.7194244604316546,high_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|high_view_rate,1
321,0.07913669064748201,low_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|low_view_rate,1
322,0.35251798561151076,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
323,0.31654676258992803,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
324,0.4028776978417266,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
325,0.4028776978417266,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
326,0.48201438848920863,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
328,0.4028776978417266,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
330,2.553956834532374,high_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=ramadankareem|hashtag=كوكيز,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=ramadankareem|hashtag=كوكيز|high_view_rate,3
371,0.29530701754385963,avg_view_rate,hashtag=مكس_المشاوي،,hashtag=مكس_المشاوي،|avg_view_rate,1
