business_name,sector,followers_count,posts_count,engagement,engagement_rate,view_rate,comment_rate,score_engagement_only,score_balanced,score_sector_z,benchmark_score,business_percentile_rank,sector_avg_engagement,sector_avg_engagement_rate,best_post_type,best_post_type_engagement_rate
Hind Khoudary,Influencers,1100000.0,1,9203.0,0.0083663636363636,0.0,5.818181818181818e-05,0.0083663636363636,0.004194818181818164,-0.3565491023593186,0.004194818181818164,23.52941176470588,68138.1375,0.012682563050239196,reel,0.012682563050239196
Hulk Gym / Diaa Shabaro,Gym,25000.0,15,217.2,0.008688,0.9567973333333335,3.733333333333334e-05,0.008688,0.29139066666666674,-0.6720364118613212,0.29139066666666674,33.33333333333333,123.71794871794872,0.010604898433911157,reel,0.010604898433911157
Jericho Resort Village - قرية أريحا السياحية,Cafes/Restaurants,73000.0,9,62.333333333333336,0.000853881278538767,0.0,0.00023896499238963684,0.000853881278538767,0.0004747336377473109,-0.5508898638250979,0.0004747336377473109,7.142857142857142,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Jumbo Supermarket,Supermarkets,5532.0,11,50.09090909090909,0.009054755800959656,1.0886248603168343,0.0010024321304147456,0.009054755800959656,0.331315322421613,-0.43102608016709765,0.331315322421613,80.0,427.80392156862746,0.17565602391148546,reel,0.17565602391148546
KFC Palestine,Cafes/Restaurants,59900.0,16,758.1875,0.01265755425709511,4.4500386060100166,0.00010016694490817073,0.01265755425709511,1.3413603923205342,0.06733728820728978,1.3413603923205342,92.85714285714286,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
KOTON Palestine,Fashion,61700.0,8,233.875,0.0037905186385737127,0.787034035656402,1.620745542949757e-05,0.0037905186385737127,0.23800871150729333,-0.11138190164344369,0.23800871150729333,69.23076923076923,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Katusha Supermarket,Supermarkets,839.0,8,6.25,0.007449344457687662,0.0,0.00014898688915375,0.007449344457687662,0.003754469606674581,-0.5176413582940835,0.003754469606674581,20.0,427.80392156862746,0.17565602391148546,reel,0.17565602391148546
LOFT Palestine,Fashion,4392.0,8,81.375,0.01852800546448084,63.778603142076506,0.0001707650273223875,0.01852800546448084,19.14287909836066,3.0914851373038608,19.14287909836066,100.0,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Lujain fashion,Fashion,14000.0,11,41.90909090909091,0.0029935064935064522,0.0,0.00010389610389608832,0.0029935064935064522,0.0015175324675324438,-0.16755562996634507,0.0015175324675324438,15.384615384615385,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
MAS CO,Fashion,4800.0,9,2.888888888888889,0.0006018518518518111,0.003287037037037033,2.3148148148144444e-05,0.0006018518518518111,0.0012916666666666443,-0.4658558934678286,0.0012916666666666443,11.538461538461538,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
MIFTAH,Influencers,1100000.0,1,1508.0,0.001370909090909,0.038,1.6363636363636363e-05,0.001370909090909,0.012088727272727225,-0.5298934727534804,0.012088727272727225,47.05882352941176,68138.1375,0.012682563050239196,reel,0.012682563050239196
Mabella - مابيلا,Fashion,77000.0,9,106.44444444444444,0.0013823953823953559,0.06941269841269837,1.0101010101010101e-05,0.0013823953823953559,0.02151702741702739,-0.388386362166344,0.02151702741702739,34.61538461538461,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,22800.0,16,340.4375,0.014931469298245568,0.542719298245614,0.00015899122807015218,0.014931469298245568,0.17031332236842103,0.13971049141470365,0.17031332236842103,71.42857142857143,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
