business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,cluster_id,cluster_label
KOTON Palestine,Fashion,61700.0,2026-04-30,0.0,Thursday,4,reel,Spring looks you’ll love 🌸✨ كولكشن الربيع من كوتون، ألوان منعشة وستايل خفيف لكل يوم 📍 فروعنا بانتظاركم 🚚 متوفر خدمة التوصيل #كوتون #كولكشن_الربيع #ستايل #موضة,181,4,5,17.0,1.0,2434.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,18.0,0.0002917341977309,0.0002755267423014,1.620745542949757e-05,0.039448946515397,0.0073952341824157,2026-04-27/2026-05-03,0,1,night,long,few,many,low,large,0,0,0,8,experimental formats
KOTON Palestine,Fashion,61700.0,2026-04-23,0.0,Thursday,4,reel,New Spring Collection 🌸✨ ستايل خفيف، ألوان منعشة، وأناقة بتفاصيل كوتون 📌 رام الله - سردا - ايكون مول 📌 رام الله - الارسال - مقابل المقاطعة 📌 رام الله - رفيديا - مقابل الاكاديمية خليك جاهزة للربيع بأحلى لوك ♡ #كوتون #كولكشن_الربيع #ستايل #موضة #نيو_كولكشن,298,5,7,15.0,2.0,2810.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,17.0,0.0002755267423014,0.0002431118314424,3.241491085899514e-05,0.0455429497568881,0.0060498220640569,2026-04-20/2026-04-26,0,1,night,long,many,many,low,large,0,0,0,8,experimental formats
KOTON Palestine,Fashion,61700.0,2026-03-24,0.0,Tuesday,3,reel,شو رأيكم باللون الأسود؟🖤✨ fashion# #رام_الله #outfitoftheday #كوتون #koton#,87,4,2,7.0,0.0,2659.0,Arabic/English Mixed,False,True,0.0,True,False,False,True,0.0,,7.0,0.0001134521880064,0.0001134521880064,0.0,0.043095623987034,0.0026325686348251,2026-03-23/2026-03-29,0,1,night,medium,few,few,low,large,0,0,0,1,community updates
KOTON Palestine,Fashion,61700.0,2026-03-18,0.0,Wednesday,3,reel,اني اكثر لبسة حبيتوها؟😍✨ outfitoftheday #fashion #grwmoutfit# #كوتون #koton#,89,4,2,0.0,0.0,1313.0,Arabic/English Mixed,False,True,0.0,False,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0212803889789303,0.0,2026-03-16/2026-03-22,0,1,night,medium,few,few,low,large,0,0,0,1,community updates
KOTON Palestine,Fashion,61700.0,2026-03-14,0.0,Saturday,3,reel,مين جاب لبسة العيد من كوتون؟🛍️✨ outfitoftheday #fashion #ootd# #كوتون #koton#,91,4,2,0.0,0.0,1264.0,Arabic/English Mixed,False,True,0.0,False,True,False,True,0.0,,0.0,0.0,0.0,0.0,0.0204862236628849,0.0,2026-03-09/2026-03-15,0,1,night,medium,few,few,low,large,0,0,0,1,community updates
Mikkawi 1955,Fashion,55900.0,2025-08-10,0.0,Sunday,8,reel,أيقونة فريدة تجمع أرقى ما أبدعه مصممو الأزياء في العالم ✨ تجربة تسوق استثنائية تستحقونها 📍 شارع الأكاديمية - نابلس #نابلس #رام_الله #جنين #ramallah #nablus #jenin #newman #newlady #Geox,190,9,3,152.0,5.0,310000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,157.0,0.0028085867620751,0.0027191413237924,8.944543828264758e-05,5.545617173524151,0.0005064516129032,2025-08-04/2025-08-10,0,1,night,long,many,few,medium,medium,0,1,1,8,experimental formats
Mikkawi 1955,Fashion,55900.0,2025-05-21,0.0,Wednesday,5,reel,زيارة استثنائية للراقية أسيل لمكاوي فاشن هاوس نابلس! ❤️ تابعوا الجزء من زيارتها وتجربة التسوق الفريدة بالريل ✨ #نابلس #جنين #رام_الله #جيبوكس #nablus #mikkawiSS2025 #newlady #newcollection #newman #fyp #geox,222,10,3,1275.0,0.0,1900000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,1275.0,0.0228085867620751,0.0228085867620751,0.0,33.98926654740608,0.0006710526315789,2025-05-19/2025-05-25,0,1,night,long,many,few,high,medium,1,1,0,0,niche audience posts
Mikkawi 1955,Fashion,55900.0,2026-05-05,0.0,Tuesday,5,reel,في كل مراحل حياتك newlady حاضرة لتنصحكِ بالفرق! ❤️ تنتظركِ تشكيلة رائعة لهذا الموسم 📍 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #شوبيدي ramallah #nablus #newlady #mikkawiSS2026 #newcollection,320,7,3,69.0,0.0,10200.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,69.0,0.0012343470483005,0.0012343470483005,0.0,0.182468694096601,0.0067647058823529,2026-05-04/2026-05-10,0,1,night,long,many,few,medium,medium,0,0,0,8,experimental formats
Mikkawi 1955,Fashion,55900.0,2026-05-04,0.0,Monday,5,reel,من الإطلالة اليومية المريحة إلى قمة الأناقة والجاذبية مع فستان وحقيبة Marella ✨ حضور يخطف الأنظار لهذا الموسم! 👜 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! للتفاصيل ابحث من خلال الموقع 2613221151 2613221151270 #نابلس #رام_الله #شوبيدي #marella #ramallah #nablus #newlady #mikkawiSS2026 #newcollection,414,9,4,55.0,0.0,6552.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,55.0,0.0009838998211091,0.0009838998211091,0.0,0.1172093023255814,0.0083943833943833,2026-05-04/2026-05-10,0,1,night,long,many,many,medium,medium,0,0,0,0,niche audience posts
Mikkawi 1955,Fashion,55900.0,2026-04-30,0.0,Thursday,4,reel,محفظة Bugatti الجلدية هي انعكاس لذوقك الرفيع بتصميمها المبتكر تمنحك المساحة والأمان الذي تحتاجه لموسم ربيع وصيف 2026 👜 اطلبيها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضلي بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #جنين #شوبمان ramallah #nablus #jenin #newman #mikkawiSS2026 #newcollection #Bugatti,393,10,3,26.0,0.0,14900.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,26.0,0.0004651162790697,0.0004651162790697,0.0,0.2665474060822898,0.001744966442953,2026-04-27/2026-05-03,0,1,night,long,many,few,medium,medium,0,0,0,0,niche audience posts
