business_name,sector,followers_count,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean,promo_share,cta_share,location_share,dialect_share,discount_mean,video_share,reel_share,cluster_id,cluster_label
Shawerma w Mashawi Al Helou,Cafes/Restaurants,81000.0,20,155.0,0.0019232592592592409,0.2472969135802469,5.570370370368982e-05,0.8,0.85,0.8,1.0,0.0,0.0,0.4,2,video-first builders
Supermarket 25st,Supermarkets,9636.0,8,39.5,0.004099211290992087,0.3231112494811125,0.0001037775010377625,1.0,0.125,0.0,0.5,0.0,0.0,1.0,2,video-first builders
The Tatreez Grove,Influencers,1100000.0,1,2469.0,0.0022445454545454,0.0,5.272727272727273e-05,1.0,1.0,1.0,0.0,100.0,0.0,1.0,5,niche loyalty brands
Vanilla Palestine,Cafes/Restaurants,139000.0,29,781.1034482758621,0.005619449268171628,0.2799057305879434,3.423468122053927e-05,0.6551724137931034,0.2413793103448276,0.10344827586206896,0.7931034482758621,0.0,0.0,0.5172413793103449,2,video-first builders
Venus Boutique / فينوس بوتيك,Fashion,131000.0,14,1.6428571428571428,1.2540894220283534e-05,0.12696837513631404,5.452562704471101e-07,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,video-first builders
Vienna Restaurant & Cafe,Cafes/Restaurants,1691.0,5,16.0,0.0094618568894145,0.5265523358959195,0.0007096392667060799,1.0,0.2,0.2,0.4,0.0,0.0,1.0,2,video-first builders
Wakeup coffee,Cafes/Restaurants,18000.0,22,2.227272727272727,0.00012373737373735656,0.028623737373737346,1.2626262626262121e-05,0.8636363636363636,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,0.5454545454545454,2,video-first builders
Xtreme Fitness Ramallah,Gym,4480.0,8,85.0,0.01897321428571425,3.068359375,2.7901785714275e-05,0.625,0.625,0.5,0.25,0.0,0.0,1.0,2,video-first builders
Yalda Hakim and Motaz Azaiza,Influencers,15000000.0,1,2226.0,0.0001484,0.0214666666666666,2.733333333333333e-06,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6,emerging challengers
aburob,Influencers,5700000.0,31,118166.12903225806,0.020730899830220667,0.8072891907187324,0.0005384833050367359,0.3548387096774194,0.3225806451612903,0.3548387096774194,1.0,3.064516129032258,0.0,1.0,3,conversion-tactical players
ahmedalhenawi1,Influencers,5700000.0,1,75570.0,0.0132578947368421,0.4736842105263157,0.0001350877192982,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,reach-focused brands
drift.for.men,Fashion,25000.0,2,276.5,0.01106,2.838,6.000000000000001e-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,video-first builders
جروان الدوار,Fashion,369000.0,14,0.0,0.0,0.023945025164537337,0.0,1.0,1.0,0.42857142857142855,1.0,24.285714285714285,0.0,1.0,2,video-first builders
متجر الأميرات للسيدات,Fashion,5600.0,12,35.0,0.006249999999999958,0.9865029761904761,0.0007440476190475917,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2,video-first builders
متجر تبارك للزي الشرعي,Fashion,53000.0,12,25.5,0.0004811320754716583,0.1382075471698113,9.433962264150944e-06,1.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,1.0,2,video-first builders
